objectId,Kumoti,requirement,sect,specialized,help_specialization,ACL,name,updatedAt,order,requirements,quality_1,value,quality_2,note,quality_3,quality_4,quality3,quality_5,quality_6,wta_camps,focus,shareable,page_number,exceptional,affinity_1,type,createdAt,affinity_2,faction,affinity_3,Ananasi,category
0dCcQnYJTT,,Silent Striders,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Owl's Grace,Tue Jan 14 2020 21:16:32 GMT-0500 (Eastern Standard Time),,,,1,,,,,,,,,,,,,,Tribal,Tue Jan 14 2020 21:16:32 GMT-0500 (Eastern Standard Time),,,,,wta_merits
0fJgqWVwXg,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Staff,Tue Jan 14 2020 21:16:33 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:33 GMT-0500 (Eastern Standard Time),,,,,wta_territory_specializations
0fkbHDmlZE,,Salubri,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Spiritual Armor,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),,,,2,,"Spend 1 Blood (if character has no Beast traits) to automatically resist demonic powers, infernal merits or investments, or Daimoinon. Can be used at any time, even before Initiative. Cannot learn demonic powers, purchase infernal merits, utilize infernal investments, or learn Daimoinon.",,,,,,,,,,,,Clan,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),,,,,merits
0fnONBFBQW,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Inglenook,Tue Jan 14 2020 21:16:11 GMT-0500 (Eastern Standard Time),3,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:11 GMT-0500 (Eastern Standard Time),,,,,ctdbs_arts
0gKVxcrHbd,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Standing Jaws,Tue Jan 14 2020 21:16:28 GMT-0500 (Eastern Standard Time),,,,,,"Gain bite, claw attack; +6 Brawl; +1 damage bonus on bites; Swim & breathe underwater; talk to Rokea at 1 mile;",,,,,,,Strength: +3 damage on bites,,,,,Rokea,Tue Jan 14 2020 21:16:28 GMT-0500 (Eastern Standard Time),,,,,wta_forms
0h6NHeg6bw,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Motley Crew,Tue Jan 14 2020 21:16:15 GMT-0500 (Eastern Standard Time),,,,2,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:15 GMT-0500 (Eastern Standard Time),,,,,ctdbs_merits
0hfuoGno8t,,Nuwisha,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Trickster's Blessing,Tue Jan 14 2020 21:16:32 GMT-0500 (Eastern Standard Time),,,,1,,,,,,,,,,,,,,Fera,Tue Jan 14 2020 21:16:32 GMT-0500 (Eastern Standard Time),,,,,wta_merits
0j6QvdcRAW,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Obfuscate,Sun Jan 26 2020 15:30:50 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:16 GMT-0500 (Eastern Standard Time),,,,,disciplines
0lqK5G1jLN,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Firearms,Tue Jan 14 2020 21:16:23 GMT-0500 (Eastern Standard Time),0,,,,,,,,,,,,,,unknown,,,,Tue Jan 14 2020 21:16:23 GMT-0500 (Eastern Standard Time),,,,,skills
0piESJ9sn2,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Ratkin,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,extra_affinity_links
0qfbvrn7B7,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Introvert,Tue Jan 14 2020 21:16:10 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:10 GMT-0500 (Eastern Standard Time),,,,,archetype_2s
0qplukPGJU,,Bastet,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Secrets,Tue Jan 14 2020 21:16:32 GMT-0500 (Eastern Standard Time),,requires_specialization,,1,,,,,,,,,,,,,,Fera,Tue Jan 14 2020 21:16:32 GMT-0500 (Eastern Standard Time),,,,,wta_merits
0r5cyNJcX5,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Gigas Rodens,Tue Jan 14 2020 21:16:27 GMT-0500 (Eastern Standard Time),,,,,,"Gain Bite & claw attack; +3 Brawl, +2 Dodge; ",,,,,,,,,,,,Ratkin,Tue Jan 14 2020 21:16:27 GMT-0500 (Eastern Standard Time),,,,,wta_forms
0s1a9m28Cv,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Aegis of Rage,Tue Jan 14 2020 21:16:28 GMT-0500 (Eastern Standard Time),,,,5,,,,,,,,,Wits,,,No,Ahroun,General,Tue Jan 14 2020 21:16:28 GMT-0500 (Eastern Standard Time),Metis,,,,wta_gifts
0sg21sG8rh,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Leadership,Tue Jan 14 2020 21:16:23 GMT-0500 (Eastern Standard Time),0,,,,,,,,,,,,,,unknown,,,,Tue Jan 14 2020 21:16:23 GMT-0500 (Eastern Standard Time),,,,,skills
0uM4zEBAYJ,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Sanctified,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),,,,1,,Gain +2 to all ritae test pools as leader. Grant +2 on a lend as a participant.,,,,,,,,,,,,Sabbat,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),,,,,merits
0uTdzvUhVD,,Ratkin,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Twitchers,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,,wta_camps
0xzFcjjJdd,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Get of Fenris,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,extra_affinity_links
0z3D8gP4pF,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Philosophy,Tue Jan 14 2020 21:16:09 GMT-0500 (Eastern Standard Time),1,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:09 GMT-0500 (Eastern Standard Time),,,,,academics_specializations
0zZFgKmVha,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Bloodline: Telyav,Tue Jan 14 2020 21:16:20 GMT-0500 (Eastern Standard Time),,,,2,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:20 GMT-0500 (Eastern Standard Time),,,,,merits
101QIBD2cJ,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Bridge Walker,Tue Jan 14 2020 21:16:28 GMT-0500 (Eastern Standard Time),,,,5,,,,,,,,,Perception,,,No,Ragabash,General,Tue Jan 14 2020 21:16:28 GMT-0500 (Eastern Standard Time),Galliard,,,,wta_gifts
14JuN4SWMJ,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Das Ungeheuer Darin,Tue Jan 14 2020 21:16:25 GMT-0500 (Eastern Standard Time),33,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:25 GMT-0500 (Eastern Standard Time),,,,,vampiric_texts
15kF2htUUF,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Vicissitude: Acid Blood,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,elder_disciplines
16B8UBMiGU,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Knockback,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,3,Talen,,,Weapon,,,,,,,,,,,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,,wta_fetish_traits
1BkWUhzFRe,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Wicked Sense of Humor,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),,,,5,,,,,,,,,Charisma,,,Yes,Nuwisha,Fera,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),,,,,wta_gifts
1C2WDf0hcU,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Untrained Combatant,Tue Jan 14 2020 21:16:19 GMT-0500 (Eastern Standard Time),,,,3,,Cannot perform combat maneuvers or gain benefit from combat maneuvers.,,,,,,,,,,,,Camarilla,Tue Jan 14 2020 21:16:19 GMT-0500 (Eastern Standard Time),,,,,flaws
1DmFt6vnpz,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Computer Sciences,Tue Jan 14 2020 21:16:09 GMT-0500 (Eastern Standard Time),1,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:09 GMT-0500 (Eastern Standard Time),,,,,academics_specializations
1DqhPxBzO3,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Blur of the Milky Eye,Tue Jan 14 2020 21:16:28 GMT-0500 (Eastern Standard Time),,,,1,,,,,,,,,Wits,,,No,Ragabash,General,Tue Jan 14 2020 21:16:28 GMT-0500 (Eastern Standard Time),Galliard,,,,wta_gifts
1EeRnfQCam,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Unerring,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,2,,,,Weapon,,,,,,,,,,,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,,wta_fetish_traits
1FV49dCeMk,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Linguistics,Tue Jan 14 2020 21:16:23 GMT-0500 (Eastern Standard Time),0,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:23 GMT-0500 (Eastern Standard Time),,,,,skills
1Fo17KUakp,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Intelligence,Tue Jan 14 2020 21:16:19 GMT-0500 (Eastern Standard Time),1,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:19 GMT-0500 (Eastern Standard Time),,,,,focus_mentals
1IEI5XcwJN,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Secure,Tue Jan 14 2020 21:16:31 GMT-0500 (Eastern Standard Time),,,,,,,,General,,,,,,,,,,,Tue Jan 14 2020 21:16:31 GMT-0500 (Eastern Standard Time),,,,,wta_item_traits
1JSDyuNoCs,,Corax,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}","I, Spy",Tue Jan 14 2020 21:16:31 GMT-0500 (Eastern Standard Time),,,,1,,,,,,,,,,,,,,Fera,Tue Jan 14 2020 21:16:31 GMT-0500 (Eastern Standard Time),,,,,wta_merits
1LZnvU0p3v,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Stealth,Tue Jan 14 2020 21:16:23 GMT-0500 (Eastern Standard Time),0,,,,,,,,,,,,,,unknown,,,,Tue Jan 14 2020 21:16:23 GMT-0500 (Eastern Standard Time),,,,,skills
1Ps1ngOVOP,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Empire of Flickers,Tue Jan 14 2020 21:16:12 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:12 GMT-0500 (Eastern Standard Time),,,,,ctdbs_kith_group_types
1QFRBicOz0,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Injured,Tue Jan 14 2020 21:16:19 GMT-0500 (Eastern Standard Time),1,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:19 GMT-0500 (Eastern Standard Time),,,,,health_levels
1S663iBegU,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Iku,Tue Jan 14 2020 21:16:12 GMT-0500 (Eastern Standard Time),5,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:12 GMT-0500 (Eastern Standard Time),,,,,ctdbs_fealty_courts
1So7HO0DGI,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Tit for Tat,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),,,,3,,,,,,,,,Intelligence,,,Yes,Ananasi,Fera,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),,,,,wta_gifts
1TiR7lghP4,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Tale Craft,Tue Jan 14 2020 21:16:11 GMT-0500 (Eastern Standard Time),12,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:11 GMT-0500 (Eastern Standard Time),,,,,ctdbs_arts
1Tt52eQQeL,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Encyclopedia Vampirica,Tue Jan 14 2020 21:16:25 GMT-0500 (Eastern Standard Time),18,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:25 GMT-0500 (Eastern Standard Time),,,,,vampiric_texts
1WsqYzPrzE,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Monster,Tue Jan 14 2020 21:16:10 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:10 GMT-0500 (Eastern Standard Time),,,,,archetype_2s
1X1tCCalgE,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Vulpine Pursuit,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),,,,4,,,,,,,,,Manipulation,,,Yes,Kitsune,Fera,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),,,,,wta_gifts
1YKWQvPome,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Mediator,Tue Jan 14 2020 21:16:10 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:10 GMT-0500 (Eastern Standard Time),,,,,archetype_2s
1bxC873mxW,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Thanatosis: Corrupt the Flesh,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,elder_disciplines
1c185U2vsW,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Thaumaturgy: Bind the Accusing Tongue,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),,,,1,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),,,,,rituals
1j3g7RV92O,,Gangrel,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Shape of the Beast's Wrath,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),,,,3,,"Can opt to turn into half-wolf/half-man monster in Fight Form. Gain +5 to Brawl test pool and do aggravated damage with Brawl attacks. All defensive pools (Physical, Social and Mental) suffer -2 penalty.",,,,,,,,,,,,Clan,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),,,,,merits
1l7QTYA1sC,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Eshu,Tue Jan 14 2020 21:16:13 GMT-0500 (Eastern Standard Time),3,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:13 GMT-0500 (Eastern Standard Time),,,,,ctdbs_kiths
1p5SZpywtV,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Animalism: Crimson Fury,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,elder_disciplines
1tB7ETcJQJ,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Ananasi,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,Kumoti (Wyld),4,Tenere (Weaver),Blood Dependency ,Hatar (Wyrm),,,,,,,,,,,,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,,wta_fera_descriptions
1u8XKSZ62N,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Addiction (Sedatives),Tue Jan 14 2020 21:16:18 GMT-0500 (Eastern Standard Time),,,,2,,Suffer -5 to Investigation & Awareness tests for the first hour of game and for an hour after feeding.,,,,,,,,,,,,General,Tue Jan 14 2020 21:16:18 GMT-0500 (Eastern Standard Time),,,,,flaws
1uH63278rB,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Emissary,Sun Feb 15 2026 13:14:10 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,Independent Alliance,Tue Jan 14 2020 21:16:25 GMT-0500 (Eastern Standard Time),,,,,titles
1wZocgmsva,,requires_specialization,,,"Specify which discipline you will add to your in-clans. Once you do this, you still must go to the Extra In Clan Disciplines section and add your selection there. Please do this before purchasing any of the selected Disciplines at character creation, or your experience costs may be wrong.<br/>You can find the available list of Disciplines on BNS page 246.","{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Vestiges of Greatness,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),,Caitiff,,3,,Opens up List 2 for last Discipline slot,,,,,,,,,,,,Clan,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),,,,,merits
1x8NtT5fqq,,Wendigo,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",The Sacred Hoop,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,,wta_camps
21utXgKjE9,,Tzimisce,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Blood of Tzimisce,Tue Jan 14 2020 21:16:20 GMT-0500 (Eastern Standard Time),,,,1,,"Gain +3 to attack pools (Physical, Social and Mental) when defending haven. Gain +2 dots of Lore skill and max increases by 2.",,,,,,,,,,,,Clan,Tue Jan 14 2020 21:16:20 GMT-0500 (Eastern Standard Time),,,,,merits
24p8bSYzlT,,Fianna,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Tuatha de Fionn,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,,wta_camps
26Eafk8Tci,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Fast,Tue Jan 14 2020 21:16:31 GMT-0500 (Eastern Standard Time),,,Melee,,Ranged,,,,,Talen,,,,,,,,,Tue Jan 14 2020 21:16:31 GMT-0500 (Eastern Standard Time),,,,,wta_item_traits
26elVo42HN,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Art Affinity,Tue Jan 14 2020 21:16:13 GMT-0500 (Eastern Standard Time),,,,4,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:13 GMT-0500 (Eastern Standard Time),,,,,ctdbs_merits
27mH4x4EGH,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Heaven,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),9,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:22 GMT-0500 (Eastern Standard Time),,,,,paths
28IsgctMWV,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Withering Gaze,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),,,,2,,,,,,,,,Manipulation,,,Yes,Ragabash,General,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),Philodox,,,,wta_gifts
2AEDhnM1ZZ,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Conspicuous Consumption,Tue Jan 14 2020 21:16:18 GMT-0500 (Eastern Standard Time),,,,3,,Start the evening with a Beast trait and gain an additional Beast trait each time the character feeds. Can eat flesh as if had Personal Masquerade.,,,,,,,,,,,,General,Tue Jan 14 2020 21:16:18 GMT-0500 (Eastern Standard Time),,,,,flaws
2Burhxvelo,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Stolen Potential,Tue Jan 14 2020 21:16:19 GMT-0500 (Eastern Standard Time),,,,3,,Do not receive a focus in one chosen Attribute. Must be purchased at creation.,,,,,,,,,,,,General,Tue Jan 14 2020 21:16:19 GMT-0500 (Eastern Standard Time),,,,,flaws
2CL9mK0DyZ,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Ventrue,Sun Mar 01 2020 22:37:46 GMT-0500 (Eastern Standard Time),1,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:20 GMT-0500 (Eastern Standard Time),,,,,lore_specializations
2EHNWdGiLW,,requires_specialization,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Awkward Mobility,Tue Jan 14 2020 21:16:27 GMT-0500 (Eastern Standard Time),,requires_specialization,,2,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:27 GMT-0500 (Eastern Standard Time),,,,,wta_flaws
2Gd9DSa0WD,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Visage of Fenris,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),,,,2,,,,,,,,,Charisma,,,Yes,Get of Fenris,Tribal,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),,,,,wta_gifts
